Compagnia_Aerea,Fascia_Oraria,P25,P50,P75,P90
AA,0,-6.72,-3.65,0.96,20.89
AA,1,-8.64,-5.64,0.75,10.93
AA,5,-7.86,-5.08,-1.57,10.65
AA,6,-7.39,-4.68,-1.3,11.16
AA,7,-6.79,-4.09,-0.53,15.81
AA,8,-6.0,-3.34,0.84,25.44
AA,9,-5.57,-2.75,3.13,29.44
AA,10,-5.24,-2.1,6.82,37.8
AA,11,-5.14,-1.98,7.82,40.44
AA,12,-4.8,-1.14,12.33,50.44
AA,13,-5.0,-1.49,11.28,49.92
AA,14,-4.92,-1.23,13.3,53.73
AA,15,-5.0,-0.94,16.82,60.51
AA,16,-4.85,-0.94,15.59,57.5
AA,17,-5.19,-0.9,17.8,62.4
AA,18,-4.58,-0.23,19.57,62.69
AA,19,-5.23,-0.16,23.14,70.39
AA,20,-4.42,-0.01,19.16,56.13
AA,21,-4.53,-0.34,18.42,57.93
AA,22,-5.37,-1.49,13.3,46.33
AA,23,-6.15,-2.17,6.74,32.56
DL,0,-10.24,-5.88,0.74,22.07
DL,1,-10.27,-6.52,-0.82,24.8
DL,3,-4.0,-3.0,-2.0,-1.1
DL,5,-8.48,-5.28,-1.26,8.42
DL,6,-7.98,-4.74,-0.77,8.99
DL,7,-6.89,-3.85,0.11,13.7
DL,8,-6.53,-3.71,0.56,19.24
DL,9,-6.22,-3.16,2.62,25.6
DL,10,-6.69,-3.27,3.95,30.41
DL,11,-6.13,-2.48,6.59,35.22
DL,12,-6.3,-2.49,7.62,38.0
DL,13,-6.37,-2.43,8.42,42.73
DL,14,-5.82,-1.81,10.37,44.67
DL,15,-5.46,-1.27,12.89,50.11
DL,16,-5.72,-1.32,13.47,49.57
DL,17,-6.94,-2.37,11.01,48.78
DL,18,-6.24,-1.35,15.85,56.46
DL,19,-6.25,-1.08,17.98,63.29
DL,20,-5.74,-1.27,16.31,56.8
DL,21,-5.66,-1.68,11.84,45.91
DL,22,-5.86,-2.18,8.02,39.22
DL,23,-6.72,-2.58,5.84,30.6
UA,0,-7.24,-3.46,3.12,23.93
UA,1,-7.33,-1.6,12.08,47.6
UA,2,-8.95,-6.75,2.71,30.5
UA,5,-8.09,-5.56,-1.99,5.09
UA,6,-8.09,-5.43,-1.9,6.77
UA,7,-7.55,-4.9,-1.53,9.32
UA,8,-7.07,-4.32,-0.57,14.37
UA,9,-6.29,-3.11,2.65,24.34
UA,10,-6.45,-3.26,2.73,27.47
UA,11,-5.89,-2.49,5.11,31.27
UA,12,-6.31,-2.97,3.84,30.76
UA,13,-6.17,-2.63,5.8,35.42
UA,14,-6.29,-2.49,7.15,47.74
UA,15,-6.1,-2.03,8.95,46.98
UA,16,-6.03,-2.03,8.79,50.63
UA,17,-5.54,-1.47,10.0,48.81
UA,18,-5.71,-1.51,11.37,54.16
UA,19,-5.7,-0.72,13.94,54.77
UA,20,-5.26,0.03,17.91,60.77
UA,21,-6.52,-2.2,11.83,47.54
UA,22,-6.62,-2.88,5.06,26.07
UA,23,-7.94,-4.09,3.05,23.34
WN,5,-5.26,-3.19,-0.66,3.99
WN,6,-5.47,-3.44,-0.81,4.5
WN,7,-5.39,-3.18,-0.25,7.7
WN,8,-4.88,-2.39,1.11,13.24
WN,9,-4.51,-1.7,3.4,18.07
WN,10,-4.44,-1.34,5.09,21.32
WN,11,-4.28,-0.87,6.89,26.57
WN,12,-4.1,-0.42,9.27,30.35
WN,13,-3.83,0.05,10.96,34.75
WN,14,-3.7,0.62,13.19,38.54
WN,15,-3.66,1.07,15.62,43.58
WN,16,-3.75,1.09,16.22,45.59
WN,17,-3.69,1.96,18.52,49.95
WN,18,-4.18,0.82,17.68,49.69
WN,19,-4.5,0.74,19.51,55.19
WN,20,-4.59,0.84,19.68,53.85
WN,21,-4.3,2.54,24.41,63.16
WN,22,-3.69,4.29,26.92,63.99
WN,23,-4.13,-0.71,6.35,18.82
